1;2791.00;10.10;1570.00;small
1;2760.00;10.43;1563.00;small
2;2734.00;11.30;1576.00;small
2;2763.00;11.38;1612.00;small
3;2729.00;10.50;1654.00;small
3;2728.00;11.78;1695.00;small
4;2663.00;10.05;1586.00;small
4;2684.00;9.98;1614.00;small
5;2882.00;9.73;1537.00;small
5;2900.00;9.60;1570.00;small
6;2944.00;9.70;1571.00;small
6;2957.00;9.70;1614.00;small
7;2975.00;11.25;1493.00;big
7;2930.00;10.80;1520.00;big
8;3058.00;10.00;1547.00;big
8;3034.00;9.70;1585.00;small
8;2995.00;9.78;1555.00;small
9;3137.00;9.50;1742.00;small
9;3099.00;9.98;1685.00;small
10;3027.00;10.40;1661.00;small
10;3047.00;10.10;1714.00;small
11;2971.00;12.70;1794.00;big
11;2932.00;14.12;1735.00;big
12;3243.00;10.70;1923.00;small
12;3349.00;10.57;1930.00;small
13;3245.00;9.50;1799.00;big
13;3180.00;9.50;1777.00;big
14;3775.00;10.50;1657.00;big
14;3921.00;9.80;1669.00;big
14;3832.00;10.30;1761.00;big
16;2821.00;9.50;1650.00;big
16;2800.00;9.50;1783.00;big
17;3443.00;12.20;751.00;big
18;2836.00;9.50;1555.00;small
18;2754.00;9.50;1518.00;small
19;2872.00;9.85;1487.00;big
19;2797.00;10.98;1484.00;big
20;2886.00;9.70;1421.00;big
20;2822.00;9.85;1414.00;big
21;3023.00;14.18;1465.00;big
21;2946.00;11.62;1440.00;big
22;3117.00;10.03;1489.00;small
22;3025.00;12.32;1511.00;small
22;3073.00;10.55;1509.00;small
23;3045.00;9.88;1329.00;small
23;2991.00;11.10;1388.00;small
24;3124.00;11.30;1378.00;small
24;3067.00;10.93;1417.00;small
25;3224.00;9.75;1347.00;small
25;3152.00;10.45;1312.00;small
26;3232.00;9.85;1461.00;small
26;3227.00;9.70;1412.00;small
26;3187.00;13.43;1379.00;small
27;3095.00;9.73;1457.00;small
27;3170.00;15.30;1452.00;small
28;3496.00;9.80;1199.00;small
28;3354.00;10.75;1159.00;small
28;3397.00;13.05;1234.00;small
29;3121.00;9.50;1237.00;big
29;3029.00;9.50;1248.00;big
30;3359.00;9.50;1389.00;big
30;3260.00;9.50;1382.00;big
31;4022.00;10.57;844.00;big
31;4043.00;10.30;959.00;big
32;1245.00;9.50;119.00;big
32;1155.00;9.50;410.00;big
33;376.00;9.95;1930.00;small
33;633.00;9.50;1954.00;small
34;1544.00;9.70;1006.00;big
34;1458.00;9.50;1066.00;big
35;1750.00;10.57;150.00;big
35;1795.00;10.60;283.00;big
35;1942.00;9.98;346.00;big
35;1843.00;10.40;455.00;big
36;2157.00;11.35;1948.00;big
36;2010.00;9.95;1959.00;big
37;3213.00;10.35;1689.00;big
37;3171.00;9.85;1635.00;big
38;3090.00;9.75;1577.00;big
38;3119.00;10.00;1539.00;big
38;3135.00;10.35;1601.00;big
39;3175.00;9.90;1573.00;big
39;3212.00;10.40;1568.00;big
39;3182.00;10.00;1513.00;big
40;3647.00;10.00;1616.00;big
40;3560.00;10.88;1623.00;big
40;3639.00;10.50;1708.00;big
40;3543.00;9.80;1702.00;big
41;2727.00;11.98;1295.00;big
41;2783.00;13.07;1342.00;big
41;2703.00;11.68;1350.00;big
42;2735.00;9.50;1437.00;small
42;2702.00;9.50;1413.00;small
43;2610.00;9.50;1665.00;big
43;2643.00;9.50;1526.00;big
44;2414.00;9.50;1852.00;big
44;2294.00;9.50;1931.00;big
45;2650.00;9.50;1933.00;big
45;2877.00;9.50;1939.00;big
46;3186.00;9.50;2023.00;big
46;3464.00;9.50;1939.00;big
47;2588.00;9.50;1347.00;big
47;2532.00;9.50;1241.00;big
48;2658.00;9.50;1200.00;big
48;2540.00;9.50;1112.00;big
